,logFC,AveExpr,t,P.Value,adj.P.Val,B,g
RAB6B,0.187540730394802,0.172551904348845,1.41148527418252,0.170104938768489,0.297192186398666,-5.71756941287345,stable
TTN-AS1,1.1984921501951,1.02382043293364,1.41131993556228,0.170153161478094,0.297247355746369,-5.71779080143363,stable
MBNL1,1.38477524056178,4.90317318010036,1.41125317957842,0.170172634622345,0.297247355746369,-5.71788018148129,stable
KCTD6,1.35014711716475,2.11800895622957,1.41121915207347,0.170182561342165,0.297247355746369,-5.71792573975378,stable
DNAJC10,-1.28745819501745,2.30894168351228,-1.41101303252358,0.170242701670745,0.297247355746369,-5.718201686183,stable
BRAT1,0.288212577234897,0.293393181712238,1.41100939284328,0.170243763786421,0.297247355746369,-5.71820655856436,stable
C9orf78,1.2962620771346,6.13868082834832,1.41098235758155,0.170251653263533,0.297247355746369,-5.71824274989757,stable
PAK7,0.599476012603717,0.447175425821455,1.4109571757984,0.170259002116323,0.297247355746369,-5.71827645949937,stable
MIR3064,-1.27211444265623,0.523800219143154,-1.41091274629156,0.170271968686797,0.297247355746369,-5.71833593381978,stable
CETN2,-1.09000665150951,1.52575026099725,-1.41089340531161,0.170277613517809,0.297247355746369,-5.71836182358373,stable
IFI6,-1.6553835229373,4.93092621975507,-1.41087714972292,0.170282357965771,0.297247355746369,-5.71838358302002,stable
GATA6,1.27822977198114,1.72772435642814,1.41083435988681,0.170294847350692,0.297247355746369,-5.71844085969552,stable
FOXA3,-0.633900609003125,0.32485535219217,-1.4108193263459,0.170299235473685,0.297247355746369,-5.7184609826092,stable
MAP3K10,0.83123529094154,0.721456344304104,1.41036648005648,0.170431458326407,0.29745422085178,-5.71906704718486,stable
ZCCHC17,-1.32907623310334,1.73762485884975,-1.41032048852364,0.170444891570604,0.29745422085178,-5.71912859043038,stable
MDH1B,-0.580473178516329,0.384273159982316,-1.40979186927485,0.170599351443662,0.297700078251593,-5.71983583549694,stable
