"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0002286","T cell activation involved in immune response","11/622","116/18800",0.00161716558299983,0.0434777152348401,0.0388648826810557,"3458/338339/246778/50943/3593/30009/3594/8320/59067/972/3122",11
"BP","GO:0050905","neuromuscular process","13/622","152/18800",0.00164468046539541,0.0436927308952451,0.0390570859367027,"342667/135/54112/6531/9543/6547/89/7140/497189/5459/2903/3226/3736",13
"BP","GO:0009595","detection of biotic stimulus","6/622","39/18800",0.00164712481384437,0.0436927308952451,0.0390570859367027,"57115/93978/114771/114770/56253/1755",6
"BP","GO:0060401","cytosolic calcium ion transport","15/622","190/18800",0.00167779860400557,0.0440159630697124,0.0393460243151699,"2815/4283/3627/22953/6547/3596/6373/5319/1234/356/779/492/2903/407050/55503",15
"BP","GO:0060402","calcium ion transport into cytosol","14/622","171/18800",0.00168143412580957,0.0440159630697124,0.0393460243151699,"2815/4283/3627/22953/6547/3596/6373/5319/1234/356/779/2903/407050/55503",14
"BP","GO:0002710","negative regulation of T cell mediated immunity","5/622","27/18800",0.00172043850207895,0.0444521090894295,0.0397358967773396,"50943/30009/6504/3821/3824",5
"BP","GO:1900017","positive regulation of cytokine production involved in inflammatory response","5/622","27/18800",0.00172043850207895,0.0444521090894295,0.0397358967773396,"3605/442898/115362/112744/50487",5
"BP","GO:0045109","intermediate filament organization","8/622","68/18800",0.00176698641560789,0.0453602512755082,0.0405476882739494,"3849/3848/8419/3882/8688/3861/3851/3857",8
"BP","GO:0097530","granulocyte migration","13/622","154/18800",0.00184931786922684,0.0471694602670102,0.0421649465594972,"3605/4283/5197/6370/3627/6373/5319/6504/10563/6846/6367/972/2813",13
"BP","GO:0043270","positive regulation of ion transport","19/622","273/18800",0.00193430849108728,0.0490230158346261,0.0438218464055242,"3458/486/342667/135/4283/3627/22953/3596/6373/2916/5319/8792/3060/4282/126755/50487/3736/2847/3746",19
"BP","GO:0002695","negative regulation of leukocyte activation","15/622","193/18800",0.0019566769678488,0.0492760611080404,0.0440480444660966,"133396/135/201633/1493/3620/284467/50943/30009/6441/29126/116449/114770/972/56253/26279",15
"BP","GO:0002544","chronic inflammatory response","4/622","17/18800",0.00200247859147613,0.0494898280464814,0.0442391314847848,"3620/4049/50943/10563",4
"BP","GO:0016045","detection of bacterium","4/622","17/18800",0.00200247859147613,0.0494898280464814,0.0442391314847848,"57115/114771/114770/1755",4
"BP","GO:0032310","prostaglandin secretion","4/622","17/18800",0.00200247859147613,0.0494898280464814,0.0442391314847848,"8792/4843/4282/50487",4
"BP","GO:0035710","CD4-positive, alpha-beta T cell activation","10/622","102/18800",0.00202672151755412,0.0497797834465917,0.0444983236375269,"3458/246778/50943/3593/30009/3594/29126/59067/3122/26279",10
"CC","GO:0042101","T cell receptor complex","54/662","144/19594",4.09702273985352e-42,1.65519718690082e-39,1.51805474150362e-39,"28640/28586/28606/28617/28674/28657/28595/28692/28691/28666/28583/28653/28611/28667/28518/28682/28685/28661/28672/28602/28673/28683/6956/28664/6984/28569/28643/28601/28609/28619/28557/28616/28677/28690/28560/28658/28676/28693/28563/28620/28592/28624/28630/917/6974/28684/28626/6977/28689/28577/925/915/28567/50852",54
"CC","GO:0098802","plasma membrane signaling receptor complex","64/662","313/19594",6.19019061103718e-32,1.25041850342951e-29,1.1468142605711e-29,"28640/28586/28606/28617/28674/28657/28595/28692/28691/28666/28583/28653/28611/28667/28518/28682/28685/28661/9568/28672/28602/28673/28683/6956/28664/6984/28569/28643/28601/28609/28619/2815/28557/28616/28677/28690/28560/3681/28658/2890/28676/269/28693/28563/28620/28592/28624/28630/917/6974/28684/28626/440829/3594/3560/6977/28689/28577/925/915/2903/28567/170572/50852",64
"CC","GO:0009897","external side of plasma membrane","59/662","455/19594",5.06683491521233e-19,6.82333768581928e-17,6.25798557949032e-17,"22914/1235/64109/133396/3605/3497/910/93978/50856/6984/338339/3681/4283/10663/1493/8747/3627/79054/917/3593/83546/6974/1237/3604/3596/1234/356/3594/3560/914/8792/460/6977/6967/6504/51744/29126/51554/3821/28639/343413/925/64446/915/909/972/643/3824/135250/51311/28454/728276/57823/57289/3502/3500/2813/102723168/3503",59
"CC","GO:0019814","immunoglobulin complex","19/662","167/19594",3.89221062819849e-06,0.000393113273448048,0.000360541616085755,"3497/28780/28939/28802/28921/28639/28826/28896/28882/28454/28881/28774/57289/28883/3502/3500/102723168/5284/3503",19
"CC","GO:0072562","blood microparticle","16/662","147/19594",3.86123974723659e-05,0.00311988171576716,0.0028613818758469,"3848/197/12/3700/5858/3240/8542/3250/28896/1370/336/5004/28883/3502/3500/3503",16
"CC","GO:0008076","voltage-gated potassium channel complex","11/662","79/19594",6.74855010361806e-05,0.00454402373643616,0.00416752567802378,"169522/80333/3761/10021/3788/26251/3776/126755/3742/3736/3746",11
"CC","GO:0034703","cation channel complex","19/662","221/19594",0.000191704676595216,0.0101553530590833,0.00931392463990964,"169522/80333/3761/1262/10021/2890/3788/26251/440829/57113/779/3776/2903/170572/126755/3742/3736/3746/55503",19
"CC","GO:0034705","potassium channel complex","11/662","89/19594",0.000201096100179867,0.0101553530590833,0.00931392463990964,"169522/80333/3761/10021/3788/26251/3776/126755/3742/3736/3746",11
"CC","GO:0043505","CENP-A containing nucleosome","5/662","18/19594",0.000257591308264556,0.010406688853888,0.00954443584306564,"8335/8362/8366/8360/8368",5
"CC","GO:0061638","CENP-A containing chromatin","5/662","18/19594",0.000257591308264556,0.010406688853888,0.00954443584306564,"8335/8362/8366/8360/8368",5
"CC","GO:0034506","chromosome, centromeric core domain","5/662","19/19594",0.000339920041238163,0.0124843360600198,0.0114499382311802,"8335/8362/8366/8360/8368",5
"CC","GO:0034702","ion channel complex","22/662","294/19594",0.00044623655440852,0.0150232973317535,0.0137785322062981,"169522/80333/3761/1262/10021/2890/3788/26251/440829/9629/57113/779/3776/2903/170572/126755/3742/2568/3736/3746/55503/2560",22
"CC","GO:0045334","clathrin-coated endocytic vesicle","10/662","91/19594",0.00099184714529132,0.0307012428853922,0.0281574713279261,"6439/1493/917/6441/915/255324/972/143425/3122/3119",10
"CC","GO:0042571","immunoglobulin complex, circulating","9/662","77/19594",0.0011295019496017,0.0307012428853922,0.0281574713279261,"3497/28639/28454/57289/3502/3500/102723168/5284/3503",9
"CC","GO:0042734","presynaptic membrane","13/662","143/19594",0.00113989763188337,0.0307012428853922,0.0281574713279261,"133396/135/6531/5030/491/114/2912/492/9699/2903/5100/3736/3746",13
"CC","GO:0000786","nucleosome","12/662","129/19594",0.00143024468505027,0.0361136782975194,0.0331214558643221,"8332/8354/8968/8335/85235/8352/8356/8362/8346/8366/8360/8368",12
"CC","GO:0099699","integral component of synaptic membrane","13/662","149/19594",0.00165736592919953,0.0393868138468594,0.0361233936271352,"135/6531/2890/5030/491/114/2912/492/2903/5100/81832/3736/3746",13
"CC","GO:0099056","integral component of presynaptic membrane","8/662","67/19594",0.00183222738146655,0.0411233256729159,0.0377160256301886,"135/6531/5030/491/114/492/3736/3746",8
