model,gene,auc
213,SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.64146761
214,SPAG4 + RSPO4 + GDI1 + SLC48A1 + SRMS,0.661266557
215,SPAG4 + RSPO4 + GDI1 + FOLR1 + SRMS,0.622344867
216,SPAG4 + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.647971758
217,SPAG4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.654775977
218,RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.653718172
219,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + SLC48A1,0.716991915
220,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + FOLR1,0.66074514
221,TRIP10 + NGFR + SPAG4 + RSPO4 + GDI1 + SRMS,0.682722228
222,TRIP10 + NGFR + SPAG4 + RSPO4 + SLC48A1 + FOLR1,0.700760361
223,TRIP10 + NGFR + SPAG4 + RSPO4 + SLC48A1 + SRMS,0.723646299
224,TRIP10 + NGFR + SPAG4 + RSPO4 + FOLR1 + SRMS,0.673084181
225,TRIP10 + NGFR + SPAG4 + GDI1 + SLC48A1 + FOLR1,0.705744075
226,TRIP10 + NGFR + SPAG4 + GDI1 + SLC48A1 + SRMS,0.717245768
227,TRIP10 + NGFR + SPAG4 + GDI1 + FOLR1 + SRMS,0.677596709
228,TRIP10 + NGFR + SPAG4 + SLC48A1 + FOLR1 + SRMS,0.714515372
229,TRIP10 + NGFR + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.691913324
230,TRIP10 + NGFR + RSPO4 + GDI1 + SLC48A1 + SRMS,0.725107664
231,TRIP10 + NGFR + RSPO4 + GDI1 + FOLR1 + SRMS,0.673084181
232,TRIP10 + NGFR + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.710325724
233,TRIP10 + NGFR + GDI1 + SLC48A1 + FOLR1 + SRMS,0.714992136
234,TRIP10 + SPAG4 + RSPO4 + GDI1 + SLC48A1 + FOLR1,0.650546319
235,TRIP10 + SPAG4 + RSPO4 + GDI1 + SLC48A1 + SRMS,0.674602983
236,TRIP10 + SPAG4 + RSPO4 + GDI1 + FOLR1 + SRMS,0.630171141
237,TRIP10 + SPAG4 + RSPO4 + SLC48A1 + FOLR1 + SRMS,0.666775984
238,TRIP10 + SPAG4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.651910345
239,TRIP10 + RSPO4 + GDI1 + SLC48A1 + FOLR1 + SRMS,0.666775984
