sample	segment_count	included
TCGA-A6-2674-01A-02D-1549-01	196	yes
TCGA-A6-2683-01A-01D-0819-01	288	yes
TCGA-AA-A00F-01A-01D-A003-01	289	yes
TCGA-AZ-6601-01A-11D-1770-01	152	yes
TCGA-CK-4947-01B-11D-1649-01	134	yes
TCGA-F4-6854-01A-11D-1923-01	178	yes
TCGA-AA-A00Z-01A-01D-A003-01	334	yes
TCGA-AA-3538-01A-01D-0819-01	271	yes
TCGA-AA-3833-01A-01D-0903-01	90	yes
TCGA-AA-3952-01A-01D-1018-01	350	yes
TCGA-AD-6889-01A-11D-1923-01	114	yes
TCGA-CM-5861-01A-01D-1649-01	54	yes
TCGA-CM-5344-01A-21D-1717-01	104	yes
TCGA-AA-3679-01A-02D-0903-01	368	yes
TCGA-AA-3530-01A-01D-1549-01	76	yes
TCGA-A6-2675-01A-02D-1717-01	237	yes
TCGA-AA-3495-01A-01D-1406-01	136	yes
TCGA-AA-3662-01A-01D-1717-01	243	yes
TCGA-AA-3866-01A-01D-1018-01	233	yes
TCGA-AY-A54L-01A-11D-A28F-01	125	yes
TCGA-F4-6808-01A-11D-1834-01	196	yes
TCGA-AD-6899-01A-11D-1923-01	176	yes
TCGA-CM-4752-01A-01D-1406-01	291	yes
TCGA-F4-6806-01A-11D-1834-01	51	yes
TCGA-DM-A28A-01A-21D-A16U-01	344	yes
TCGA-CM-5863-01A-21D-1834-01	92	yes
TCGA-AA-A00R-01A-01D-A003-01	168	yes
TCGA-AA-3950-01A-02D-1018-01	52	yes
TCGA-G4-6303-01A-11D-1770-01	205	yes
TCGA-AA-3531-01A-01D-1549-01	322	yes
TCGA-A6-A566-01A-11D-A28F-01	64	yes
TCGA-CA-6719-01A-11D-1834-01	223	yes
TCGA-AA-3713-01A-21D-1717-01	90	yes
TCGA-G4-6297-01A-11D-1717-01	97	yes
TCGA-AY-4071-01A-01D-1427-01	126	yes
TCGA-CM-4744-01A-01D-1406-01	186	yes
TCGA-G4-6306-01A-11D-1770-01	142	yes
TCGA-AD-6890-01A-11D-1923-01	133	yes
TCGA-A6-6140-01A-11D-1770-01	279	yes
TCGA-CK-5916-01A-11D-1649-01	80	yes
TCGA-DM-A28H-01A-11D-A16U-01	494	yes
TCGA-AA-3525-01A-02D-0824-01	190	yes
TCGA-AZ-4315-01A-01D-1406-01	89	yes
TCGA-SS-A7HO-01A-21D-A36W-01	357	yes
TCGA-A6-3810-01A-01D-1018-01	614	yes
TCGA-AA-A01K-01A-01D-A008-01	133	yes
TCGA-AA-3494-01A-01D-1406-01	132	yes
