Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.A6.3810.01A.01R.1022.07	0.033593480145749	0	0.00562716586859527	0.0789165989755396	0	0.0899495634165806	0.0437276402839407	0.064115604126664	0.00580756854452348	0	0.0283435531036198	0	0	0.235155636721229	0.0926177803783804	0.126462245686418	0.00437292738099843	0	0	0.125655826940889	0.0156582446576751	0.0499961637691975	0.208	0.0475113010504572	1.07634989053582
TCGA.A6.3810.01B.04R.A277.07	0.0788289118932975	0	0.0255886011101626	0.00112873104218637	0	0.349932791717006	0.0267311263024645	0	0	0	0.0613878318644346	0	0	0.0619276484092097	0.0725871848792393	0.125504081502337	0	0	0	0.0609633504442074	0.100731228438877	0.0346885123965781	0.049	0.139756004941725	1.02515591609814
TCGA.A6.3810.01A.01R.A278.07	0.0507351246462485	0	0.0138249832009507	0.0471227254774243	0	0.0798372857775358	0.0187460372480871	0.0797951972641366	0	0	0.0302516881789815	0	0	0.294322249900753	0.11102919532445	0.102517462639494	0	0	0	0.108725494855109	0.0134404672267044	0.0496520882601254	0.118	0.0781955989931887	1.07065994842347
TCGA.A6.4105.01A.02R.1774.07	0.0279079875644432	0	0.0120273595011525	0.160925484967499	0	0.150131415057308	0.132552179268213	0.0714738812335033	0.00441498115387293	0	0.0365222895900393	0	0.00468603685838681	0.0804950792082138	0.0695504967359823	0.173226432741577	0.00743389759782968	0.00675538239452175	0	0.018782719420805	0.0308866270428356	0.0122277496638179	0.142	0.0684054891136944	1.05781052793157
TCGA.A6.4107.01A.02R.1410.07	0	0.0392402335273802	0.0375430064110643	0.0239205412972123	0	0.178441498379574	0.0119254328105603	0.0562173455034885	0.126543596728477	0	0.0152531154218038	0	0	0.167271163314173	0.0712260827463676	0.184198534435332	0.0637721624728895	0	0.0244472869516767	0	0	0	0.088	0.0943881963433357	1.04795888237143
TCGA.A6.5656.01A.21R.1839.07	0	0.0197890685834704	0.00426371814742778	0.0842374751348075	0	0.053442985623085	0.121084806585845	0.0575138529468908	0.0295435090253418	0	0	0.00060703887771556	0	0.529926258954948	0.0401774612182935	0.030667107565989	0.0287467173361858	0	0	0	0	0	0.015	0.230290281826569	1.02491775043258
TCGA.A6.5656.01B.02R.A277.07	0.0537960178606287	0	0.0047296928768215	0	0	0.313129427608176	0.0805003711283487	0.0416470316659273	0	0	0.0645597292426903	0	0.00509689788452279	0.1451292916431	0.0378832007569248	0.106833427582558	0.000948077541682485	0.0446703133476382	0.0296432637846806	0.0151958933413312	0.0479025627833796	0.00833480095159052	0.0590000000000001	0.121996795840022	1.03199777639975
TCGA.A6.5656.01A.21R.A278.07	0	0	0.0394710619685975	0	0	0.0346889883649132	0.0699993948609692	0.050092142178325	0	0	0.00814840900131054	0	0	0.613417340655876	0.0437715212553195	0.0636739935709452	0.0182132959868364	0	0	0.0583420375499343	0	0.00018181460697276	0.012	0.239213687257111	1.04537651672612
TCGA.A6.5657.01A.01R.A32Z.07	0.316673107999032	0	0.0640775524317495	0.0908509039026707	0	0.117652307872686	0	0.0545262897144472	0.11832874805677	0	0	0.0247323462756535	0	0.0676809132971443	0.0609999318102785	0.019780640056788	0.0154832324179889	0.0305205686831485	0.00723277180523158	0.0114606856764113	0	0	0.002	0.376127386279056	0.937435186988506
TCGA.A6.5659.01A.01R.A278.07	0.0275872576482935	0	0.0047919688492436	0	0	0.139157066128952	0.0813992070914294	0	0.000144467637199223	0	0.114666588085247	0	0	0.441902227642805	0.04267704347157	0.0189406615641812	0.0128955315163295	0	0	0.11583798036475	0	0	0.179	0.0559751335239405	1.10113370612509
TCGA.A6.5659.11A.01R.1653.07	0.0157194171948073	0.0927192805896478	0.109344567747592	0.0651043682202204	0	0.17278670474718	0.0145021142884587	0.0178557846169474	0.0256965119197813	0	0.0209666596368295	0	0.0036074730231592	0.0192041462048001	0.0279666750886743	0.14590973642427	0.0641460986630245	0.00748163082963114	0.133395765354107	0	0.0481888604899059	0.0154042049609624	0.004	0.329010963848354	0.945445213445389
TCGA.A6.5659.01B.04R.A277.07	0.121308256275997	0	0.00339386357974982	0.0111387124677409	0	0.384020877324741	0.0613575129797506	0	0	0	0.0414277827672913	0	0.0663651350531157	0.0329100242115086	0	0.118389900469041	0.025986897418058	0.050780889253033	0	0.0777302087326914	0.00518993946728139	0	0.206	0.0487034609902816	1.06257429989367
TCGA.A6.5659.01A.01R.1653.07	0.0864942078682508	0	0.00544836912521657	0.0805940194651823	0	0.150258020135411	0.0546941629804741	0.0231465395729393	0.0251789946475606	0	0.0326561585394934	0	0	0.360075772168914	0.045588485962862	0.0343062029547114	0.0139821229131928	0	0	0.0875769436657923	0	0	0.0580000000000001	0.123198949721454	1.05067610052987
TCGA.A6.5660.01A.01R.1653.07	0.0185882839656775	0	0	0.0508920355233662	0	0.155860941237736	0.100764020296523	0	0.0312558514997235	0	0.039196671741578	0	0	0.37838587833436	0.0146610161160512	0.117704566926248	0.0186079185136511	0	0	0.0740828158450848	0	0	0.228	0.0417398611937329	1.09474235895786
TCGA.A6.5661.01A.01R.1653.07	0.0899020224932728	0	0.0149065764811674	0.0395700752048563	0	0.375328004143188	0.0655612396223746	0.0874067926485153	0	0	0.0329421949588269	0	0	0.063977271581654	0.0542975633669653	0.0917158702293882	0.0182033188051231	0.0196720669700231	0	0.0408216338546276	0.00569536964001738	0	0.07	0.11255703161085	1.04998427590598
TCGA.A6.5661.01B.05R.2302.07	0.091001994380081	0	0.00810055084263047	0.0423836189614412	0	0.299655385790205	0.022902464647684	0.0938466467572561	0.0208444044725554	0	0.053851574814474	0	0	0.0133679861914441	0.0165659257572223	0.065867371532084	0	0.0633132291931545	0	0.158779946568388	0.0142514591026022	0.0352674409887778	0.078	0.102036582148797	1.05397961864042
TCGA.A6.5665.01A.01R.1653.07	0.0718972765824998	0	0.0238088506214365	0.291758466790398	0	0.113526374328057	0.0744695881969578	0.0675548990766849	0.0402167423663042	0	0.0992842646957207	0	0.0155600045167857	0.0554788464134673	0.0314051828527112	0.0397347411816694	0.00889004430600103	0.00399955774935144	0	0.0554791505061781	0.00693600981577714	0	0.054	0.132013564739385	1.05656637319925
TCGA.A6.5665.01B.03R.2302.07	0.03600999331503	0	0.0269574549086809	0.0125203243810019	0	0.256246319138207	0.0195992800347781	0.03727186380903	0	0	0.0977885292298263	0	0	0.0953977719521293	0.0527315700531679	0.0958027256894538	0	0.0183753734958293	0	0.149815990806788	0.0523045403713782	0.0491782628146997	0.109	0.081470511242363	1.05245265064591
TCGA.A6.5665.11A.01R.1653.07	0.0605530823682049	0.0310592233594372	0.0510113742244788	0.110589012617364	0	0.248558643979304	0.0409113152391787	0	0.0332106420386609	0	0.00409405846389479	0	0	0	0.0206053344792751	0.233749057297574	0.00512918643561374	0.02789642217761	0.0939446350694532	0	0.0386880122499505	0	0.025	0.199260188015274	0.999346438734064
TCGA.A6.5666.01A.01R.1653.07	0.0369157647198444	0	0.020374607402357	0.00758440197853743	0	0.218878973815554	0	0	0.00950058375273822	0	0.0404577024441649	0	0	0.375283540962213	0.108868748660015	0.100246114704795	0	0	0	0.0322554064461738	0	0.049634155113607	0.12	0.0770529949300276	1.08259926465678
TCGA.A6.6137.01A.11R.1774.07	0.0355795223033791	0	0.00345601891033744	0.0664046657987423	0	0.261667188056807	0.0604268869754964	0.021967091224656	0.165222215095543	0	0	0	0.0174287032148027	0.147000870632071	0.0280125112718578	0.079760511494159	0.00290987300449244	0.0644597358430849	0.0442369000494128	0	0.00146730612515749	0	0.229	0.04172417023559	1.0797327986872
TCGA.A6.6138.01A.11R.1774.07	0.0372783217743558	0	0.00315344058291558	0.0776350499687654	0	0.19197585728535	0.013069800557464	0.052002910866337	0.0546599275775192	0	0.0176259480677283	0.00599846566615587	0	0.250216642330357	0.0900398427022264	0.157671666461142	0.022555830833352	0.0073507118932813	0	0.0187655834330507	0	0	0.205	0.0491940130748486	1.07865785175416
TCGA.A6.6140.01A.11R.1774.07	0.0428037904405096	0	0.0152791315659905	0.167735227206387	0	0.20124108802775	0.0490111154282741	0.0448905271602275	0.075604507925381	0	0.0719044916706653	0	0	0.101505427543581	0.0409933344873767	0.0548140228959397	0	0.032395104584825	0	0.0857037205928557	0	0.0161185104702374	0.114	0.0797102191715921	1.06756694467438
TCGA.A6.6141.01A.11R.1774.07	0.0744351780441584	0	0.00542846402895487	0.195050823116852	0	0.161064617635923	0.0111289986683761	0.0535869698566694	0.127430176519836	0	0	0.0432217433106141	0.0241941042086028	0.0706631717722541	0.110772114761342	0.00684895661270545	0.0719472669188952	0	0.0442274145448161	0	0	0	0.091	0.092143228706125	1.06726098014845
TCGA.A6.6649.01A.11R.1774.07	0.0815215188990182	0	0.0488591458331352	0.10683027031804	0	0.207348967299258	0	0.0451143859569293	0.0574530158400801	0	0.00321712020561871	0.00421488154301645	0.0141939295251208	0.0599220968040791	0.075148783915307	0.103799690295499	0.0321056816839651	0.0144017512303746	0.129257676205905	0	0.0150704682680047	0.00154061617664783	0.036	0.180287732053326	1.00810467871968
TCGA.A6.6650.01A.11R.1774.07	0.0203735223928069	0	0.0491443627842712	0.0282889649907695	0	0.336409382511641	0.0767120943993942	0.0849184289422197	0.00568280379694396	0	0.0415921964588289	0	0.0235995076005217	0.174039524768715	0.0284958483326461	0.0592049797968736	0	0.0382748685596201	0	0.0332635146647479	0	0	0.106	0.0827320361763412	1.05860147533397
TCGA.A6.6650.01B.02R.A277.07	0.106931393145563	0	0.117892515351212	0	0	0.388995562760507	0.0631782008149617	0.00991618043636329	0	0	0.0253655423780927	0	0	0.0354240261228449	0.0262599914416715	0.110060754178351	0.000282331971561904	0.0387854423607781	0	0.0295349475956154	0.034619555200927	0.0127535562415511	0.00600000000000001	0.283333550692734	0.970971588343212
TCGA.A6.6650.01A.11R.A278.07	0	0	0.0368338065213826	0.02483016751315	0	0.253119884392571	0.0877328085832942	0.10395751627937	0	0	0.0414029817871664	0	0.0247533946837816	0.181669476588529	0.0657040222456233	0.0866101683462499	0.0132152578884034	0	0	0.0599143801436469	0.0202561350268315	0	0.23	0.0409047188257454	1.06969969087881
TCGA.A6.6653.01A.11R.1774.07	0.0603416137177356	0	0.00481664830064962	0.0407737394198484	0	0.159246857747382	0	0.0019309230249672	0.0451916950884975	0	0	0.0624753901697625	0	0.415675935376617	0.0328496867770074	0.0365464169225042	0.0129600282815124	0	0	0.114051341026133	0	0.0131397241473827	0.053	0.134160357714866	1.0609696621699
TCGA.A6.6654.01A.21R.1839.07	0.0329158415848944	0	0.00264175979390114	0.054301160550583	0	0.134964488034634	0.0213900568955367	0.0409767332432507	0.0658669733600134	0	0.0170793424197173	0	0	0.341015245427083	0.0912934725147161	0.110405584290355	0.0178039548886735	0	0	0.0543998969303191	0	0.0149454900663229	0.122	0.0765720814627464	1.07500661921168
TCGA.A6.A566.01A.11R.A28H.07	0.0171038523476604	0	0.00421943989935077	0	0	0.151612107406895	0	0.0250903543340102	0.0539060915225359	0	0.0667975087188323	0	0	0.421684348370386	0.0145839746057545	0.177644223540437	0.00891345186760017	0	0	0.0488921706055087	0	0.00955247678102961	0.00600000000000001	0.286181326891262	0.98781223004469
