"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04520","Adherens junction","22/1355","71/8165",0.00190757858345673,0.0134748104193114,0.00995444143214821,"60/6714/4008/71/387/5777/3643/117178/52/1459/5880/4233/1457/999/7046/8976/1500/1499/998/81/7414/1495",22
"hsa00380","Tryptophan metabolism","15/1355","42/8165",0.00210466076589006,0.0145572369640729,0.0107540780362365,"1644/223/219/847/3033/39/3620/23498/259307/4128/1892/217/1738/501/1962",15
"hsa05132","Salmonella infection","59/1355","249/8165",0.00216251931526035,0.0146521716870701,0.0108242105361044,"10398/4074/4615/5603/836/60/4609/10096/2353/3725/2597/578/10094/54205/71/6188/10383/302/387/5868/4646/8655/9367/3799/6500/3326/203068/29108/5217/55770/1434/7184/7277/7295/5216/6993/84790/10109/375/103910/10093/8976/1499/7879/10376/6281/998/127829/10095/3569/834/10092/330/5898/10006/391/7846/4790/8767",59
"hsa05310","Asthma","12/1355","31/8165",0.00266307960185601,0.0176828485563239,0.0130631062575253,"3122/3118/3108/3115/3127/6356/3119/3113/3109/2207/3117/3123",12
"hsa00071","Fatty acid degradation","15/1355","43/8165",0.00274501775630413,0.0178695273547641,0.0132010141840838,"51703/223/219/3032/3033/39/10449/1892/128/8310/37/217/501/51/1962",15
"hsa04530","Tight junction","42/1355","169/8165",0.00361820514997155,0.023100848265203,0.0170656234806351,"1366/10398/7430/60/1365/10096/2017/3725/6714/9075/10094/5518/1364/71/387/3059/1741/79784/51762/7277/50848/84790/10109/79778/103910/23370/10093/595/9368/10376/92359/3993/998/81/10095/10092/3688/84612/23513/7408/7846/4637",42
"hsa05152","Tuberculosis","44/1355","180/8165",0.00409905671968463,0.0255357686862529,0.0188644074315058,"3122/4615/5603/3118/8915/836/2214/3108/3459/3115/6714/3329/3127/54205/972/805/3119/6772/387/3689/3113/3109/2215/5868/2212/7040/1509/2207/3117/9902/6850/533/3123/7879/3313/808/8411/818/4843/3569/1520/4790/5993/8767",44
"hsa04210","Apoptosis","35/1355","136/8165",0.00415340815981222,0.0255357686862529,0.0188644074315058,"1965/1508/836/60/1512/1513/5366/2353/3725/578/54205/71/1616/142/9020/1509/597/7277/84790/10376/598/9131/10039/3710/3002/4000/27429/1075/1520/330/823/7846/2021/4790/4893",35
"hsa04657","IL-17 signaling pathway","26/1355","94/8165",0.00457462520020223,0.0276141012084935,0.0203997640506626,"2919/4312/3627/5603/836/2353/3725/6364/2921/6356/4314/6426/2920/3934/3326/6280/4318/7184/6279/9641/8061/3569/9618/4790/6278/1437",26
"hsa01232","Nucleotide metabolism","24/1355","85/8165",0.00475074488473101,0.0281651303880482,0.0208068337996678,"353/7083/132/955/51292/1635/29922/144811/124583/204/978/54963/7498/7378/50808/3251/6241/30833/3615/1503/51727/4833/158/4830",24
