,P01_tissue_tumor_center,P01_tissue_tumor_deep,P01_tissue_tumor_superficial,P08_tissue_tumor,P10_tissue_tumor,P18_tissue_tumor,P19_tissue_tumor,P20_tissue_tumor,P21_tissue_tumor,P01_CTM1,P01_CTM3,P01_CTM4,P01_CTM8,P08_CTM7,P08_CTM10,P08_CTM11,P10_CTM10,P16_CTM2,P18_CTM2,P18_CTM4,P18_CTM5,P18_CTM6,P19_CTM2,P20_CTM14,P20_CTM15,P20_CTM16,P21_CTM11
ACBD7,3.63588,0.525981,0.0596896,0.297253,0.798355,17.8206,0,1.7101,0.325187,1.54436,0,0,5.48804,0.290519,0,0,0,56.6913,19.3489,0,0.327941,1.31065,29.8967,0,1.20914,0,0
ACCS,0,0,0,14.2414,0,1538.32,0,0,0.0684597,0,0,0,1.26303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCSL,0,0,0,0,0,0,0,0,0,0,0,0,0.463033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACD,0,77.511,66.834,0,0,0,0,0,0,0,0,0,0,0,22.9821,0,0,0,0,0,0,0,0,0,0,0,172.252
ACE,0.2149775,0,0.1141885,0.0558235,0,0,0,0.475641,0.934855,0,0,0,0.3432395,3.449895,0.4983305,0,2.65156,11.3757,3.26543,0,0,5.52455,0.260075,0,1.475355,0.4656175,1.67879
ACE2,0,0,0,53.3122,0,0.0710799,0,0,0.0174598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACER1,0.31751,0,0,0.423155,0.649699,0,0,1.31378,0.611481,0,0,0,1.20571,0,0,0,0,0.649275,8.41042,24.8322,0,0,7.44984,14.8165,0,0,2.12343
ACER2,0,0,0,0,27.3634,0,0,0,13.2424,0,0,0,0.223747,0,0.349255,0,0,0,0,0,0,0,0,0,0,0,0
ACER3,0.0109158,0.0330068,0.0357126,0.199464,0,2.88593,0.0503964,0.446432,41.4801,0,0.0525109,0.0166324,2.09673,0.0133324,1.37533,0.48797,26.639,5.79995,2.18532,1.55448,2.15967,0.198365,5.77169,0.0315976,2.33597,3.0817,5.27675
ACHE,0,0,0,0,0,0,0,0,0,0,0,0,0.209765,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACIN1,4.828,12.4061,0,1.67842,7.58196,0.991373,0.0530224,3.15184,8.35223,0.221932,850.426,0,2.05781,0,102.555,0.964752,0,0.10009,0.599349,0,0,0,0,0,0,0,46.8075
ACLY,127.096,11.2239,61.2065,33.1679,65.005,105.38,141.013,89.1489,0.150652,0.115828,6.99882,0,0,346.379,0.510576,79.8674,0.0781069,0.107514,0.0971749,0,0.0924506,0,0,0,0.114142,0,105.036
ACMSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACN9,0,0.134354,0,41.1501,0,0.237789,0.212446,1.53749,38.8177,0,0,0,0,0,0,0,0,1.0777,0.252041,0,0,0,0,0,0,0,698.989
ACO1,3.60783,45.2674,45.448,0.185071,4.52493,0,0,0,28.1578,0,0,0,0,0,0,0,0,0,0,0.385776,0,209.416,0,0.102534,0,0,3.41201
ACO2,0.169276,67.7581,0.0306836,0.964126,177.524,0.995781,438.641,72.2563,56.6818,0,0,0,0.614749,0,0.213498,15.9806,0,0,0,0,0,0,0,0,0,0,114.476
ACOT1,0,0,7.08442,3.41107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2986
ACOT11,0.5956,0.0392098,31.7015,2.56005,0.0486779,0.121364,13.8898,1.73523,0.484379,0.228832,0,0.241042,1.20353,1.03029,0.176769,0,2.1283,10.6939,11.249,3.92976,4.07023,2.97899,22.7644,0.535266,2.49427,0.674506,1.04492
ACOT12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT13,47.4067,0.31961,0.135469,53.8025,70.5707,105.3,162.856,0.211552,98.2739,0.864245,979.427,1.26275,1.22887,0.847399,877.578,2323.25,1.31714,2.6145,0.338401,14.3316,6.71541,0,0.118068,0.690149,1.65655,0,1287.55
ACOT2,0,0,21.4917,9.3581,0,0,0,0.522715,0,0,0,0,1.53249,0,5.1145,0,0,0,1.75007,0,0,6.71815,35.4843,0,11.4108,0,31.5367
ACOT4,0,0,0,11.5053,0,0,0,0,0,0,0,0,0.134848,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6186
ACOT6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT7,250.643,152.23,490.714,49.1634,0,1.04153,653.728,98.0198,85.1764,0,0,0,0.37566,0,0.557304,0,0,0,0.302522,0,0,0,0,0,0,0,77.3319
ACOT8,0,0.138654,132.759,83.939,139.191,0.544358,0,5.10483,113.848,0,0,0,0.188412,0,109.539,0,0,0,0,0,0,0,0,0,0,0,90.3716
ACOT9,153.558,0.0611355,206.274,41.3397,1.02897,2.12867,0,1.74157,36.3479,0,0,0,1.26555,0.0901954,114.627,0.740849,0.606629,3.41798,28.5924,5.27151,32.1819,6.67792,45.0344,922.3,2.14499,0.3521,257.184
ACOX1,0.233404,10.1324,329.973,95.0375,0,0.77894,189.678,121.668,0.102292,0,0,0,0.910199,0.022707,0,0,0,0.531965,1.76157,0.175896,0,74.4875,5.53858,0.234466,0.522512,0.62897,57.8979
ACOX2,0,0.216351,0.327852,0.0354643,0,0.378269,213.321,0.452491,0.110302,0,0,0,1.32717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOX3,0.241569,129.756,0,37.7916,0,0.939197,0,122.062,0,0,0,0,0,0,295.187,0,0,0,0,0,0,0,0,0,0,0,32.0448
ACOXL,2.19968,0.528311,0.441441,0.177047,0.0506019,0,0,0.0616971,0.136062,0,0,0,0.529436,0,0,0,0,0,2.16535,0.224659,0,0,2.02059,0,31.0462,0,0
ACP1,234.125,103.407,213.226,221.27,75.7057,54.0637,481.3,160.202,158.269,0.993929,0.19757,0,3.58439,111.311,12.3433,1.77022,0,2.67905,0,0,0.552743,0,0,0.231746,0,0.995504,1863.4
ACP2,165.598,0.930261,0,1.25933,0,0,0,48.483,133.173,0,0.489433,0,0.254219,2294.27,6.03997,0,0,0,0,0,0,0,0,0,6.79717,0,70.3652
ACP5,0.0852755,0,0,49.3523,52.2383,5.09556,338.124,1.28707,606.039,0,0,0,1.43647,0,45.7577,0,0,0,0,0,0,0,0,0,0,0,0
ACP6,0.385206,0,160.499,0,0,0.444518,165.796,0,0.0972639,0,0,0,1.56057,0,0,436.911,0,0,0.494078,0,0,0,0,0,0,0,24.6252
ACPP,0,0,0,0,0,0.124386,0,0.0612132,33.5368,0,0,0,1.86338,0,0,0.333741,0,0,0.447915,0.155337,0,0,0,0,0,0.109086,0
ACPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR,0,0,0,0,0,0,0,0,0,0,12.3737,0,0,6.02515,0,0,0,0,0,0,0,0,0,0,0,0,0
ACRBP,0,0,0,0,0,0,0,0,66.4943,0,0,0,0,0,0,0.624746,0,0,0,0,0,0,0,0,0,0,0
ACRC,0,0,0,0.221533,0,0.699851,0.0351207,0.153186,0.06371,0,0,0,0.217152,0,0,0,0,3.16784,16.6286,1.54501,0.123606,0.370982,60.5538,0.207217,0.619961,1.29556,0.615019
ACRV1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381715
ACSBG1,40.6517,0.0147363,28.7267,15.9231,0,47.5857,0.134343,0.236516,11.8948,0,0.039511,0,3.30308,0,0.0534745,0,0.166055,0.848069,1.03551,0.665151,0.5821,0.109694,1.29294,0.212476,0.460611,0.0615771,35.3733
ACSBG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896139,0,0,0,0,0,0,0,0
ACSF2,609.321,0,0,0,634.626,1.01837,744.993,1.91278,1.54504,0,0,0,1.56116,0,55.8058,0,0,1.504,63.981,0.776073,0,0,1.60256,0,0,0.604619,0
ACSF3,0,0,0,0.0770844,0.0955293,0.422536,0,41.2385,64.0794,0.0743286,0,0,1.8249,0,0,0,0.0540925,0.662242,3.60265,1.2391,7.80297,0,1.79602,0.236829,2.22132,0.120608,52.4204
ACSL1,0,0,6.54554,36.6713,0,0.554049,6.45985,0.069223,20.9404,0,0,0,5.50389,0,0.205484,0,0,0.381441,4.26878,4.59211,0,0.19632,8.68011,0,0,0,6.43114
ACSL3,0.177199,43.9139,93.3368,1.38243,1.13835,0,0,0.776532,5.23842,0.7445,11.2608,0,0.100348,0,16.3699,0,0,0,0.94969,0,0,0,2.38407,0,0,0,61.607
ACSL4,0,0,1.77884,2.13901,0,0.0398361,0,40.4741,41.191,0,7.29842,153.865,1.53907,0,0.183672,0.0365464,0.0555939,0,13.0811,0.127279,0,0,0.900149,0.043121,0,0.062055,55.1091
ACSL5,221.118,0.354491,121.627,169.714,269.378,318.313,391.07,90.8788,198.462,0,0,218.175,0.165155,0,0,0.0948397,0,0.158276,0,0,0,0.105418,0,0,0.204049,0,1.72806
ACSL6,0.758575,0.0191018,0.0305605,11.9342,0.247498,251.355,0.128792,63.5762,0.127957,0,0,0.27544,0.592329,0.0272414,0,0.104877,0.159784,0.665058,6.22783,4.55649,0.68604,0.214659,1.70435,1.1491,0.0544274,1.10133,0.356648
ACSM1,0,0,0,0,0,0,0,0,0,0,0,0,0.179429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSM2A,0,0,0,0.296944,0,0.105798,0,0,0.234241,0.191416,0,0,0.473175,0,0,0,0.128905,11.22,9.44598,1.51214,11.8789,0.376391,16.7151,0.12105,0.228571,0.145076,0.159138
ACSM2B,0,0,0,0,0,0,0,1.14526,0.0315009,0,0.0925074,0,1.52506,0,0,0,0,0.662308,0.611017,0.436563,0.157388,0,2.23518,0,0,0,0
ACSM3,0,0,0,0.560885,0,0,0.586847,0.475343,0.186495,0,0,0,1.37019,0,0,0,0,0.534238,0,0,0,3.97043,0.267165,0,0,0,0
ACSM4,0,0,0,0,15.7693,0,0,0,0,0,0,0,0.671096,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSM5,0,0,0,0,0,0,0,0,0,0,0,0,1.66443,0,0,0,0,0,0.530414,0,0,0,0,0,0,0,0
ACSS1,0.0292968,0.0539988,20.4434,1.3258,0,1.23041,0.147147,1.05654,0.0482547,0,0,0,0.759359,0,0,0,5.03444,1.80336,7.38755,0.613428,5.20923,0,1.27792,0,3.13888,0,0.644773
ACSS2,0,0,0,170.065,18.9732,1.86276,656.498,3.66747,31.0065,0,149.791,0,1.26602,0,56.9503,291.767,0.26488,0.318221,21.2169,7.83622,0,0,16.2705,0.291588,1.01761,0,35.2421
ACSS3,0,0,0,0,0,0,0,0,0,0,0,0,0.105911,0,0,0,0,0,0,0,0,0.0655801,0.274824,0,0,0.780754,0
ACTA1,0,0,0,0,0,0,0.0916497,0,0.523543,0,0,0,0,0,0,0.823195,0,0,0,11.9039,0.561692,0,0,0,0,0,1.2518
ACTA2,707.041,2354.78,570.602,258.245,2418.81,2075.53,1187.77,99.9753,409.479,0.771792,0,1.83936,13.5232,1.14091,0,1.27151,11.3629,211.406,364.309,354.283,4.6956,219.395,557.989,0,395.993,84.6035,69.0193
ACTB,21227.4,22063.6,20147.9,9107.34,17760.8,24936.6,14974.6,7215.34,10622.4,30.7453,12844.1,21340.7,46.0025,2967.16,17560.8,14889.7,15.3822,34.7083,12.0026,131.017,21827,1098.56,21.2112,1267.6,866.692,1045.09,30994.5
ACTBL2,0,0,0,0,0,0,0,0,0,0,0,0,0.219972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTC1,207.921,0.449606,0,0,0,0.0343038,0,84.759,52.4859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTG1,2382.92,2075.3,4080.1,2232.11,6213.15,6265.75,4724.28,1585.99,2176.33,2.94012,4967,521.137,2.93761,5768.96,9246.45,6470.88,1.5264,6.14194,2.42731,48.9246,467.28,595.966,4.82425,438.925,6.92444,3.39585,4245.87
ACTG1P4,0,0,0,0,0,0.387374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTG2,335.719,144.168,108.173,44.1763,1454.04,5.41163,362.941,74.8638,63.7799,0,0,1.77841,1.81623,0,0,1.39169,0,1.0756,0,0,1.86427,0,0.985383,0,1.16583,0,0.383146
ACTL10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTL6A,0,744.368,70.4625,243.05,458.685,1573.85,2024.6,334.977,392.526,0,0,0,1.25444,0,2.6001,0,0,2.53897,0,0,0,0,5.56985,0,0,0,508.321
ACTL6B,0,0,0,0,0,0,0,0,0,0,0,0,2.94938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTL7A,0,0,0,0,0,0,0,0,0,0,0,0,0.225277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTL7B,0,0,0,0,0,0,0,0,0,0,0,0,0.141733,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTL8,166.508,0.0692079,87.3667,0,0,0,0,0,0,0,0,0,0.309006,0,0,0,0.209476,0,0,0,0,0,0,0,0.360107,0,35.6109
ACTL9,0,0,0,0,0,0,0,0,0,0,0,0,0.261682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTN1,337.391,223.472,104.665,82.5251,102.191,4.12567,170.865,171.339,173.185,0.735419,201.68,1.00767,1.18438,1305.1,181.449,1481.44,410.524,1.71348,8.92727,4.10489,7.76791,151.538,18.732,357.647,6.68168,8.43913,274.209
ACTN1-AS1,0.342913,0,0,0,0,0,0,0,0,0,0,0,0.910569,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTN2,0,0,0,0,0,0,0,0,0,0,0,0,3.1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTN4,238.482,67.0153,106.472,167.049,52.9606,65.1542,270.786,83.2153,182.88,0,14.539,3515.01,0.718944,5.47914,413.864,1540.26,0,0.116282,0.117153,1.68957,0,0,0,2.50365,7.53775,0,256.442
ACTR10,220.617,396.285,123.757,30.165,0.259103,0.848152,420.076,200.955,92.1072,0,511.622,0,3.82214,0.167401,148.93,0,3.04214,17.1993,9.94171,2.79978,9.96625,0.644529,25.4954,0,80.0805,0,145.878
ACTR1A,0,0,0,0.02185,461.222,0.701831,87.7786,16.6631,83.5698,0.184884,2016.98,0,1.03472,72.415,1.36782,446.421,0.400935,0,6.27075,2.15472,4.84495,0,6.99667,0.355695,9.91655,0.114665,92.7002
ACTR1B,3.84388,0,35.2346,9.48591,0,0.342865,75.9041,14.7262,0.209133,0,0,0,0,794.54,4.62634,0,0,0.187257,0,0,0.211256,0,0,0,0,0,47.6995
ACTR2,40.131,11.5588,121.968,50.3514,16.4295,0.279735,76.388,41.8582,23.6802,0,47.8817,83.424,1.68667,0.0504317,43.2536,1.36773,0.108891,0.145552,0.191924,0.324471,0.1301,0,0.435781,0.102343,0.0900928,0.268114,173.533
ACTR3,76.2141,161.671,247.378,68.1733,167.607,552.403,346.053,13.2988,121.766,0.389964,0.330229,0.0166198,0.403346,0.0137934,27.7491,28.8668,0.705275,1.36262,0.433194,0,0,0.179352,0.977431,0.0378773,0.0990653,0.997993,39.6694
ACTR3B,1.81452,0.218204,0.186697,0.0922084,0.0174523,362.808,0.0237217,0.379941,1.6556,0,938.289,0.400231,0.712086,0.312957,1.23019,0.334483,0.699643,1.09713,2.36491,10.2867,1.41622,0.646863,11.7637,0.308353,0.84509,4.75681,14.4159
ACTR3BP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR3BP5,0,0,0,0,0,0,0,0,0,0,0,0,0.243654,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR3C,0.509716,0,0.0121207,0,0,0.918909,0,0,21.6498,0.150077,0,0,0.444052,0,0,0,0.217386,0.959641,1.03482,0.778645,0.438262,0.106225,2.19987,0,0.0934762,0,7.57429
ACTR5,0,0,0.113785,0,0,0,0,0.154502,0,0.242043,0,0,0.494049,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0372
ACTR6,288.513,0.0507123,15.9082,61.0993,43.9551,314.638,0.0764977,0.277875,37.1542,0,0,0,0.822766,0,0.772851,0.715196,5.38,0,3.0419,0,0,17.0572,46.1041,0,17.8801,0.932756,197.854
ACTR8,0.0453097,0.047046,0,0,0.0492661,0,0,1.68499,0,0,0.853459,0,1.29668,130.981,0,0,0,4.17885,0,0,0,0,0,0,0,0,42.5884
ACTRT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTRT3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84392
ACVR1,80.8768,0,39.9709,0.036199,0,0.0801473,3.32383,0.281685,0.0231919,0,0,0,0.181338,0,111.27,0.224825,0,0,0.166717,0,0,15.3884,10.2542,0,0,0,13.9848
ACVR1B,0,0,0,9.18337,0,0,0,0.0962327,0.768088,0.108634,0,0,0.171455,0.0868418,0.199664,0,0,0,69.0504,0.1599,0,0,0,0,0,0,5.48564
ACVR1C,0,0,0,0,0,0,0,0,0,0,0,0,0.237365,0,0,0,0,0,2.37074,0,0,0,0,0,0,0,0
ACVR2A,0,0.037259,0.037125,21.5002,0,114.509,0.021526,33.9814,11.8657,0,0.0210776,0,3.94995,0,0.0432095,6.77072,0,0.744334,0,0,0,0,0,0,0,0,1.08898
ACVR2B,0,0,0,0.101868,0,0,0,0.20425,0.143853,0,54.3455,0,0.176157,0,0,0,0.0606972,3.9455,0.992139,0.682407,0.0652048,1.07414,2.27916,0.487775,0.487836,0,3.2444
ACVR2B-AS1,0,0,0,0.0306139,0,0,0,0.0869302,0.029132,0,0,0,0,0,0,0,0,0.63893,0.463923,0.612524,0.161049,0.310712,6.60279,0,0,0,0
ACVRL1,0,0,0,45.8218,0,0.101486,135.607,110.854,29.2472,2.49935,47.2082,0,1.94685,2.25879,1133.17,1289.1,0,0,3.1478,3.46144,0.721465,5989.49,9.41443,0,1265.28,0,0.261873
ACY1,543.243,184.487,0,36.1198,266.084,0.572266,0.374,4.65627,108.376,0.519641,0,0.474401,1.42727,288.651,72.133,0,0.483841,3.72844,4.39077,0,0,0,1.20581,0,0,0,130.789
ACY3,0.286337,141.377,0,0,0,0,0,0,44.6277,0,0,0,0.284223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACYP1,0,33.3144,0,94.4888,0,0,0,63.7781,0,0,2.4717,0,0.824053,0,107.651,0,0,1.05815,0,0,0,0,0,0,0,0.901556,328.379
ACYP2,0,0,0,0.324145,0,0.182777,97.9788,57.498,0.177925,0,0,0,0.145531,0,0,0,0.15632,0.53984,0,0,0,0,0,0,0,0,53.8204
ADA,0,0,0,0,0,161.93,0,0,0,0,0,0,0.173176,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2717
ADAD1,0,0,0,0,0,0,0,0,0,0,0,0,0.167621,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAD2,0,0,0,0,0,0,0,0,0,0,0,0,0.188084,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAL,0,0,0,0.0841221,0,54.8898,0,0.039113,0,0,0,0,1.33067,0,0,243.404,0,0.510831,0.496735,0.342109,0,0,438.124,0,0.114949,0,31.2388
ADAM10,247.002,17.2862,236.439,5.74276,109.973,207.477,0.0944364,1.46996,34.171,0,30.1865,0,0.30895,0,0.154834,28.9301,0,0,1.27485,0,0,0,4.0096,0,0,0.835917,33.1238
ADAM11,0,0,0,0,0,0,0,0,0,0,0,0,0.129844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM12,0,0.554028,42.1539,0,0,0.0177411,3.69214,0,8.66738,0,0,0,5.08776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM15,0,1.18888,35.6958,0.22795,0,0,0,2.25863,0,0,0,3.81335,3.77467,34751.2,2550.4,0,0,2.31597,0,0,14.5226,2.30749,1.72662,2.14003,0,0,98.0698
ADAM17,0.0195021,30.2736,35.4564,24.66,11.3588,0.0279119,55.5389,0.0428675,21.7936,0.098937,0.0419574,0,0.0662751,0.0344428,107.046,7.73852,0,0.696346,0,2.39547,0.166859,0,0.241905,0,0.0583107,0,23.2831
ADAM18,0,0,0,0,0,0,0,0,0,0,0,0,0.901467,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM19,19.4388,0.0644038,116.071,0,111.682,104.038,7.21851,4.71471,47.0038,0,0,0,0.18884,0,0,0,0,0,0,0,0,0,0,0,0.268029,0,0
ADAM1A,0,0,0,0.504359,0,0,0,17.0094,0,0,0,0,0.21494,0,0,0,0,0,0.2116,0,0,0,0,0,0,0,1.51133
ADAM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM20,0,0,0,0,0,0,0,0,0,0,0,0,0.0969432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM20P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM21,0,0,0,0,0,0,0,0,0,0,0,0,0.101401,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72479
ADAM21P1,0,0,0,0,0,0,0,0,0,0,0,0,0.243136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM22,29.3126,0,0,0,0,0,0,0,0,0,0,0,1.01784,0,0,0,0,0,0.176955,0,0,0,0,0,0,0,3.26194
ADAM23,0,0,0,0,0,0,0,0,0,0,0,0,1.17347,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM28,0,0,26.7686,0.125763,0,0.610694,7.29009,0.0123612,0.0742503,0,0,0,0.348298,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM29,0,0,0,0.155836,0,0.5208,0,0,0.0574039,0,0,0,0.577537,0,0,0,0.277898,0.827139,1.09178,0.850986,1.54261,0,2.68177,0,1.59707,0,0.172936
ADAM30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM32,0,0,0.0647475,0.389367,0.107092,0,0.458969,1.56243,0.82713,0.324968,0,0.0131186,4.25817,0,0.0321391,0.0247235,1.1916,12.9222,150.584,12.3117,3.89503,14.9553,74.6212,0.160213,26.8987,0.603439,0.765448
ADAM33,0,0,0,0,6.93126,0,0,0.0989585,0,0,0,0,0,0,0.462297,0,0,1.94027,1.65382,0,0.568053,0,0,0,0,0,0
ADAM3A,0,0.782705,0,0.067651,0.561104,2.57035,0,0,1.36854,0,0,0,1.63635,0,0,0,0,0,0,3.15707,0,0,57.4766,0,0,0,0
ADAM5,0,0,0,0.0675406,0,0,0,0.0463357,0,0,0,0,0.437038,0,0,0,0,0,0.783851,0.30149,0,0,3.6077,0,0.135946,0,0
ADAM6,0,0,0,0,0,0,0,0,0,0,0,0,0.147124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM7,0,0,0,0,0,0,0,0,0,0,0,0,0.591579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM8,12.9348,0.0594412,98.8765,0,0,0,0,0,0,0,0,0,1.78285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM9,257.312,1.54759,77.822,19.9379,1.92433,0.603426,22.5811,8.86344,14.4167,0,0,0,0.564725,4.43784,0,0,0,0,4.95331,0,0,0,0,0.0694916,0,0,30.6649
ADAMDEC1,0.374593,84.2379,56.0313,31.1103,0,3.51161,0.496047,25.5786,201.771,0,0,0,0.460487,0,0,0,0,0,0.268661,0,0,0,4.19311,0,0,0,0
ADAMTS1,0.0366143,14.7309,0.0147999,0.594954,14.6883,0.0360272,0.0252013,0.41961,11.6567,0,0.0844501,0,0.314385,0.0359112,26.4655,13.8851,0.127828,2.98897,4.92087,4.96693,0.917756,0.126302,1.00197,0,0.0583621,0.523008,37.3209
ADAMTS10,0,0,0,0,0,0,0,0,0,0,0,0,0.153409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS12,0,0,0,0,0,0,0,0,0,0,0,0,0.428694,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS13,0,0,0,0,0,0,0,0,0,0.145463,0,0,0.532282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS14,0,0,0,0,0,0,0,0,0,0,0,0,0.116017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS15,0.0402461,0,0,0,0,0,0,0,0,0,0,0,0.151062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS16,0,0,0,0,0,0.120238,0,0,0,0,0,0,0.175801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS17,0,0.0189827,0,0.0826873,0,0.0352212,0,0.077968,0.0415422,0,0.268662,1.76307,0.189179,0,0.0932269,0.294908,0.778513,0,0,0.120144,0,0.0978139,0.677701,0,0.782569,0.154397,0.0910281
ADAMTS18,0,0,0,0,0,0,0,0,0,0,0,0,1.04543,0,0,0,0,0,0,0,0,0,3.43059,0.0573096,0,0,0
ADAMTS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923358,0,5.22498,0,0,0,0,0,0,0,0
ADAMTS2,0,2.81432,0,0.10191,0,60.8315,0.0186999,0.992723,21.2527,0,0,0,2.7937,0,0,0,0,0.415674,0.0586435,0,0,0,1.0866,0,0,0,0.38136
ADAMTS20,0,0,0,0,0,0,0,0,0,0,0,0,0.172466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS3,0,0,0,0,0,0,0,0,0,0,0,0,0.234473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS4,0.00979942,0.989556,1.10315,0.220634,0.76983,1.91227,0.185218,0.483856,0.262032,0,0,0,0.408824,0,0,0,0.283094,4.86538,5.72616,1.49358,2.41545,1.51772,5.86872,0,2.74231,0.23024,0.404969
ADAMTS5,0,0,0,0,0,0,0.0135255,0,0,0,0,0.013178,0.194474,0,0,0,20.2098,0,0.0546493,0,0,0,0,0,0.0221152,0,0
ADAMTS6,0,0,0,0,0,0,0,0,0,0,0,0,0.227802,0,0,0,0,0,191.459,1.02444,0,0.136861,0,0,0,64.3488,0
ADAMTS7,0,0,0,0,0,0,0,0,0,0,0,0,0.878661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS8,0,0,0,0,0,0,0,0,0,0,0,0,0.0885156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS9,0,0,0,37.0855,0,0.0572203,0,1.0101,0.0247886,0,0,0,0.253251,0,0.717618,264.76,0,0,0,0,0,0,13.8392,0,0,0,0
ADAMTS9-AS1,0,0,0,7.37865,0,0,0,0,0,0,0,0,0.348453,0,0,0,0,0,43.1428,0,0,0,0,0,0,0,0
ADAMTS9-AS2,0,0,0,0.0772242,0,0,0,0,0,0,0,0,0.647745,0,0,0,0,0,80.4697,0,0,0,0.650567,0.337756,0.127774,4.99582,0
ADAMTSL1,0,0,0,0,0,0.0310732,0.0201217,0,0,0,0,0.16806,0.961697,0,0,0,0,0,0,0.319169,0,0,0,1504.44,0.616163,0,0
