,P01_tissue_tumor_center,P01_tissue_tumor_deep,P01_tissue_tumor_superficial,P08_tissue_tumor,P10_tissue_tumor,P18_tissue_tumor,P19_tissue_tumor,P20_tissue_tumor,P21_tissue_tumor,P01_CTM1,P01_CTM3,P01_CTM4,P01_CTM8,P08_CTM7,P08_CTM10,P08_CTM11,P10_CTM10,P16_CTM2,P18_CTM2,P18_CTM4,P18_CTM5,P18_CTM6,P19_CTM2,P20_CTM14,P20_CTM15,P20_CTM16,P21_CTM11
SLC35A2,0,0,0,0.412334,0,0.182131,271.963,63.127,0,0.322043,0,0.75809,0.18907,1.58562,1.28879,0.990324,0.210661,0.242629,0.681369,0.653225,0,0.309506,0.84541,0.297317,3375.51,0.764958,27.7525
SLC35A3,0,0,17.6952,20.1255,0,27.3304,0.173043,2.57273,1.41071,0,4.82904,0,0.726689,0,0.117581,18.8559,0.170462,6.22777,2.92525,4.92786,1.46672,0.0382346,1.53231,0,1.55171,0.123834,4.93041
SLC35A4,0,0,0.110264,0.638863,0.541567,0.538322,0.128292,61.6834,58.9118,0,1.02212,0,0.100511,0,1.73958,218.74,0,0.13697,0.123826,0,0,0,0.119665,0,0,0,36.4217
SLC35A5,0,4.27728,6.83595,41.3718,0,0,12.0034,2.68243,1.17894,0.359628,20.2786,589.495,0.142203,0.0265967,0.670115,0.118814,0,0,0.226947,0.994644,0,31.4419,0.275986,0.231587,0.0910774,0.423157,43.8071
SLC35B1,246.695,196.997,180.473,249.909,0,878.26,63.032,201.133,1.49632,0,23.185,1.6676,1.10207,0,0.258364,0.266832,0,0.948675,6.1109,0.157789,0,0.139147,0.781906,0.882981,0,0,591.299
SLC35B2,99.4189,72.9765,117.268,0,0,0,0,0,6.93432,0.460288,0,0,0.160905,0,0.435387,357.526,0,0.228687,0.209861,0,0.22512,0,0,0,0,0,104.266
SLC35B3,0,0,0,53.0765,0,0.0614992,33.0375,0.115105,0,0.219547,0,0,0.130094,97.3468,17.0274,0,0,0,0,0,0,0,1.62603,0,0,0,4.01609
SLC35B4,0,0,0.0413737,0.0102094,0,0.0187604,38.4254,0.141501,0.467558,0,0,0.0301619,0.155274,2.10427,0.046151,0.444907,0.250292,37.5708,0.19934,0,2.16603,0,0.725327,0,0.118262,0.145973,96.7279
SLC35C1,0,0,0,7.12083,0,0.0778982,0.0439323,0.406946,0,0,0,0,0,0,45.8412,20.1368,0,0,0.127491,0,0,0,0,0,0.270772,0,27.3424
SLC35C2,2.92613,161.766,90.4013,78.1318,35.3616,706.368,427.688,0.584737,108.778,0,0,0,1.03996,0,0,0,0,0.960443,0,0,0,0,0,0.945983,0,0,46.7351
SLC35D1,0,0.054614,36.3371,0.011042,0.229481,0.112532,1.5507,1.22983,8.97901,0,0.113828,0,0.259433,0,0,0,0.187803,0,2.21826,0.875481,0.429264,0,3.12088,0,0.300729,0.21316,6.95422
SLC35D2,21.9666,0,32.3084,2.38615,0,0,33.9354,30.826,1.10539,0,0,0,0,0,265.796,0,0.683548,0,0,0,0,0,0,0,0,0,26.6253
SLC35D3,0,0,0,0,0,0,0,0,0,0,0,0,0.129481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC35E1,163.399,0.0207053,0.167494,43.612,241.102,13.7013,0.43207,42.7926,15.1068,0,56.4335,0,6.48743,0.103073,1.01193,60.3917,0.56495,19.2963,28.3414,9.80871,1.36122,308.037,28.8625,1.70659,12.5184,0.707791,46.0459
SLC35E2,0,0,0.304996,0.98895,0,1.08167,2.20288,11.2618,0.711812,0,0,0,0.388821,0,2.01706,0,101.999,0,60.5283,0.0853336,0,9.65918,4.81895,0,0,0,1.57466
SLC35E2B,0.110246,20.2993,0.0446442,13.4863,18.4513,0.096675,0.312402,0.156518,10.366,0,1.9413,0.370735,0.533037,0.443435,21.1947,29.8754,1.78338,12.5156,5.06613,5.5271,0.450355,2.62027,4.29811,4.04505,20.5671,0.506169,10.2963
SLC35E3,52.315,0,0.0143016,0.351178,0.817079,0.914189,0.0254443,0.787943,0.469843,0.181893,0.0330705,2.08573,1.79893,0,0.0575532,0.0480204,1.34773,30.1594,14.1234,6.08375,7.09037,1.9284,32.188,1.20273,2.48899,17.8288,41.4292
SLC35E4,0,0,0,21.7397,0,0.767473,0,0.462748,0.074143,0,0.489033,0,0.125641,0,0.240353,0,0,0,0,0,0,0,5.90412,0,0,0,1.25089
SLC35F1,0,0,0.103918,0.073723,0,0.0265498,0.102994,0.102231,0.0533158,0,0,0,0.114536,0,0.129165,0.0549362,0,3.04097,1.10207,0.385698,0.371455,0,50.4348,0.666633,0.161504,0,0.167799
